,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state,target
0,33,1350,6,1200,2,2.0,1,1,1,0,0,0,5,3,43.5851,-116.225,13,0
1,395,1300,0,1150,3,1.0,1,1,1,0,0,0,5,5,42.247,-71.7872,19,0
2,202,900,4,1200,3,1.0,0,0,0,0,0,0,4,3,44.2354,-70.0288,21,1
3,232,975,0,875,2,1.0,0,0,0,0,0,0,5,5,30.0165,-90.0655,18,1
4,17,959,0,1000,2,2.0,1,1,1,0,0,0,4,0,33.4761,-82.0725,10,1
5,3,950,2,1508,5,2.5,1,1,1,0,0,0,0,0,42.3948,-73.9623,10,1
6,354,956,0,650,1,1.0,1,1,1,0,0,0,5,5,27.9181,-82.7239,9,1
7,154,1899,0,971,2,2.0,0,0,1,0,0,0,0,0,34.0721,-117.599,4,0
8,139,1450,4,600,2,1.0,0,0,0,0,0,0,0,2,21.4379,-158.187,11,0
9,342,1250,11,1522,2,1.5,0,0,0,0,0,0,5,1,45.7495,-94.2159,23,0
10,0,2100,6,1350,4,2.0,1,1,0,0,0,0,4,1,38.2771,-122.021,4,0
11,221,850,6,1700,3,1.5,0,0,0,0,0,0,4,1,32.6081,-92.1659,18,1
12,100,1250,7,525,0,1.0,1,1,0,0,0,1,1,5,44.0418,-123.021,37,0
13,8,2200,2,1400,2,2.0,0,0,0,0,0,0,5,1,61.2154,-149.908,0,0
14,14,900,4,1000,2,1.0,1,1,0,0,0,0,5,5,33.9919,-83.3607,10,1
15,364,1095,6,1477,3,1.5,1,1,0,0,0,0,5,1,36.1168,-95.8834,36,1
16,81,834,0,850,2,2.0,1,1,0,0,0,0,5,5,41.6795,-93.7795,12,1
17,157,815,0,936,2,1.0,1,1,1,0,0,0,4,5,35.7008,-88.848,42,1
18,307,1295,6,1600,3,2.0,0,0,0,0,0,0,4,1,27.0663,-82.1865,9,0
19,245,1900,0,1100,1,1.0,0,0,1,0,0,0,5,5,41.8714,-73.4578,6,0
20,367,875,0,1164,2,2.0,0,0,0,1,0,0,5,2,42.5672,-114.491,13,1
21,349,850,0,1187,2,1.5,0,0,0,0,0,0,2,5,36.1224,-97.0602,36,1
22,216,1485,0,1100,2,2.0,1,1,1,0,0,0,5,1,44.9192,-93.4282,23,0
23,246,639,0,475,1,1.0,1,1,1,0,0,0,2,0,34.187,-84.8204,10,1
24,52,1030,0,612,1,1.0,1,1,1,0,0,0,1,5,35.1074,-80.9786,27,1
25,373,2500,11,1432,2,2.5,0,0,0,0,0,0,5,1,34.204,-118.984,4,0
26,128,1024,0,1089,2,2.0,1,1,1,0,0,0,1,2,42.886,-85.5979,22,1
27,137,1400,6,1042,2,1.0,1,1,1,0,0,0,4,3,41.8204,-73.0264,6,0
28,286,1025,0,800,2,1.0,1,0,1,0,0,0,1,5,41.7699,-71.3933,39,1
29,3,1245,0,1200,3,1.0,0,0,0,0,0,0,5,6,42.6615,-73.7813,34,0
30,339,1600,6,1569,3,2.0,0,0,1,0,0,0,4,1,47.7281,-117.029,13,0
31,165,735,0,938,2,1.0,1,1,0,0,0,0,1,5,39.18,-94.5614,16,1
32,69,615,0,550,1,1.0,1,1,1,0,0,0,2,2,27.7469,-97.392,43,1
33,285,1995,6,2172,3,3.5,0,0,0,0,0,0,4,1,39.6132,-119.691,4,0
34,381,450,0,680,1,1.0,0,0,1,0,0,1,5,5,44.5322,-89.1373,48,1
35,354,950,0,602,1,1.0,1,1,0,0,0,0,0,0,27.9866,-82.5689,9,1
36,238,1300,0,500,1,1.0,0,0,0,0,0,0,3,4,40.7466,-74.0489,31,0
37,230,900,4,850,2,1.0,1,0,0,0,0,0,4,5,42.9927,-71.4492,30,1
38,382,1550,6,1728,3,2.0,1,1,1,0,0,0,2,0,47.8881,-120.15,47,0
39,395,1400,0,1000,2,1.0,1,1,0,0,0,0,1,3,42.23,-71.7628,19,0
40,94,1050,0,900,2,2.0,0,0,0,0,0,0,1,5,38.3605,-75.0816,20,1
41,90,2100,6,2230,4,2.5,0,1,0,0,0,0,4,1,35.5367,-77.3787,27,0
42,389,800,6,1500,4,2.0,0,0,1,0,0,0,4,5,37.6342,-97.353,16,1
43,203,735,0,800,2,1.0,1,1,1,0,0,0,1,5,39.1937,-96.5747,16,1
44,308,1000,0,586,1,1.0,1,1,1,0,0,0,0,5,32.0139,-81.2397,10,1
45,283,775,0,500,1,1.0,0,0,0,0,0,0,3,6,40.2584,-75.9833,38,1
46,274,1080,0,725,1,1.0,1,1,0,0,0,0,5,2,45.4296,-122.715,37,1
47,192,650,0,40,1,1.0,1,1,0,0,0,0,1,5,40.8036,-96.6954,29,1
48,346,999,11,1479,2,1.5,1,1,1,0,0,0,4,5,38.7693,-90.2963,14,1
49,158,879,0,1010,2,1.5,1,1,0,0,0,0,2,5,30.3551,-81.6037,9,1
50,61,856,0,1458,3,2.0,1,1,1,0,0,1,0,0,41.4494,-81.4314,35,1
51,215,795,0,700,1,1.0,0,1,0,0,0,0,1,6,43.0802,-87.9087,48,1
52,186,1000,4,1100,2,1.5,1,1,1,0,0,0,4,1,38.9367,-95.2855,16,1
53,297,600,0,470,1,1.0,0,0,0,0,0,0,1,5,40.7697,-111.873,44,1
54,364,820,0,925,2,2.0,1,1,1,0,0,0,5,5,36.2815,-95.8637,36,1
55,350,2195,6,1902,3,2.5,1,1,1,0,0,0,5,1,37.7278,-121.445,4,0
56,119,959,0,743,2,1.0,1,1,1,0,0,0,2,0,36.7573,-119.722,4,1
57,177,1220,0,1000,2,1.0,1,1,0,0,0,0,5,2,40.4201,-86.8919,15,1
58,392,875,0,744,1,1.0,1,1,1,0,0,0,5,5,34.2669,-77.8307,27,1
59,362,675,2,1450,2,2.5,0,0,1,0,0,0,4,6,36.2066,-82.322,42,1
60,90,1400,6,1392,4,2.0,1,1,0,0,0,0,4,5,35.6047,-77.3597,27,0
61,86,740,0,750,2,1.0,0,0,0,0,0,0,5,5,43.8198,-111.808,13,1
62,263,885,4,1070,2,1.0,1,1,1,0,0,0,4,2,30.1214,-85.5812,9,1
63,165,500,6,1000,3,1.0,1,1,1,0,0,0,4,1,38.9712,-94.496,16,1
64,297,1330,0,1175,2,2.0,1,1,1,0,0,0,5,3,40.5451,-112.009,44,0
65,28,825,0,960,2,1.0,0,1,1,0,0,0,1,5,42.1144,-75.9655,34,1
66,200,725,0,1100,2,2.0,1,1,0,0,0,0,4,5,32.2814,-83.4709,10,1
67,161,850,0,1300,2,2.0,0,1,0,0,0,0,4,1,35.929,-90.5773,2,1
68,299,765,0,675,1,1.0,1,1,1,0,0,0,0,0,29.5078,-98.5553,43,1
69,26,1375,11,1350,3,2.0,1,1,0,0,0,0,4,3,44.2549,-121.199,37,0
70,17,639,0,715,1,1.0,0,0,1,0,0,0,4,5,33.4123,-82.0065,10,1
71,216,1330,0,469,0,1.0,1,1,0,1,0,0,5,1,44.9427,-93.1019,23,0
72,357,1259,0,1061,2,2.0,1,1,1,0,0,0,5,0,33.6738,-96.6146,36,0
73,120,1383,0,995,2,1.0,1,1,1,0,0,0,5,5,26.1319,-81.6863,9,0
74,131,819,0,811,1,1.0,1,1,1,0,0,0,5,5,36.051,-79.8647,27,1
75,285,1200,0,1000,2,1.5,0,0,0,0,0,0,5,1,39.1701,-119.722,4,1
76,230,1595,0,975,2,1.0,1,0,0,1,0,0,1,1,43.0241,-71.4849,30,0
77,4,660,0,485,1,1.0,1,1,1,0,0,0,2,5,35.1217,-106.549,32,1
78,294,600,0,750,2,1.0,0,0,1,0,0,0,4,5,43.5716,-83.9259,22,1
79,67,2200,6,1760,3,2.5,1,1,0,0,0,0,5,3,40.0822,-82.8146,35,0
80,4,626,0,401,0,1.0,1,1,1,0,0,0,2,2,35.0812,-106.656,32,1
81,155,900,0,600,1,1.0,1,1,1,0,0,0,3,5,41.6589,-91.5243,12,1
82,147,1690,0,1343,3,2.0,1,1,1,0,0,0,5,3,30.0882,-95.5709,43,0
83,1,799,0,1042,2,2.0,1,1,1,0,0,0,4,5,32.4066,-99.7718,43,1
84,364,530,0,660,1,1.0,1,1,0,0,0,0,2,0,36.1007,-95.8567,36,1
85,347,1160,6,1308,4,1.5,0,1,1,0,0,0,0,0,40.5208,-77.4331,38,1
86,323,2100,2,1140,2,2.0,0,0,1,0,0,0,5,0,25.6574,-80.3627,9,0
87,89,725,3,484,2,1.0,0,0,0,0,0,0,3,5,41.5848,-71.8132,6,1
88,81,1000,0,1226,2,2.0,1,1,1,0,0,0,1,5,41.5964,-93.7339,12,1
89,215,950,2,734,2,1.5,1,1,0,0,0,0,5,1,43.1689,-88.0448,48,1
90,80,1100,0,606,1,1.0,0,0,1,0,0,0,3,5,39.7415,-104.857,5,1
91,160,1050,6,1100,2,2.0,1,1,1,0,0,0,0,0,39.0533,-74.762,31,1
92,300,2395,2,921,1,1.5,1,1,0,0,0,0,5,1,32.7182,-117.168,4,0
93,205,594,6,2025,3,2.0,1,1,1,0,0,1,0,0,40.7627,-82.5593,35,1
94,3,1187,5,1100,2,1.0,1,1,1,0,0,0,5,5,42.7003,-73.6891,34,1
95,361,1640,0,1150,2,2.0,0,0,1,0,0,0,0,0,27.2606,-80.4771,9,0
96,174,895,0,750,2,1.0,1,1,0,1,0,0,2,5,43.8142,-91.2441,48,1
97,283,1195,0,1050,2,2.0,1,1,1,0,0,0,5,5,40.3138,-75.9908,38,1
98,232,700,0,770,2,1.0,1,1,1,0,0,0,4,0,30.5191,-90.4879,18,1
99,56,2695,6,1750,3,2.0,0,0,1,0,0,0,5,1,41.8001,-87.9287,14,0
100,128,1007,0,957,2,1.0,1,1,0,0,0,0,1,0,42.905,-85.598,22,1
101,219,2095,0,1080,2,2.0,1,1,1,0,1,0,5,0,37.7532,-121.481,4,0
102,29,810,0,600,2,1.0,1,0,1,0,0,0,5,5,33.4958,-86.7804,1,1
103,250,1575,0,853,1,1.0,1,1,1,0,0,0,5,5,31.9145,-102.299,43,0
104,274,1450,0,896,2,2.0,1,1,0,0,0,0,5,5,45.4607,-122.825,37,0
105,219,1495,0,925,2,2.0,1,1,0,0,0,0,5,2,37.6912,-121.032,4,0
106,395,1400,0,900,2,1.0,1,1,1,0,0,0,1,5,42.2711,-71.7589,19,0
107,299,1329,6,1904,4,2.0,1,1,1,0,0,0,4,1,29.4934,-98.728,43,0
108,310,850,6,754,2,1.0,0,0,0,0,0,0,4,2,41.3361,-75.7304,38,1
109,297,1600,4,1674,3,2.0,0,0,0,0,0,0,4,2,40.6311,-111.854,44,0
110,274,1650,0,670,1,1.0,1,0,0,0,0,0,5,1,45.5244,-122.692,37,0
111,169,950,6,1266,3,2.0,1,1,1,0,0,0,4,1,31.1117,-97.9052,43,1
